Close,High,Low,Open,Volume
108127.0703125,108127.0703125,108051.703125,108051.703125,76029952
108239.3125,108239.3125,108114.046875,108114.046875,741601280
108046.84375,108221.8359375,108046.84375,108221.8359375,0
107683.015625,108041.5546875,107683.015625,108041.5546875,727052288
107883.765625,107952.625,107615.8125,107615.8125,757219328
107885.796875,107885.796875,107729.234375,107873.5,781123584
107988.75,107988.75,107882.953125,107886.421875,546144256
108260.2421875,108260.2421875,108056.171875,108056.171875,704008192
108252.8125,108395.71875,108233.34375,108254.7578125,759869440
108362.8203125,108387.859375,108227.578125,108227.578125,25632768
108251.8828125,108376.71875,108238.0546875,108376.71875,89497600
108207.09375,108288.4921875,108183.5390625,108248.21875,22433792
108215.4296875,108260.1484375,108191.3515625,108191.3515625,22626304
108252.515625,108283.25,108194.0703125,108194.0703125,836362240
108944.8125,108944.8125,108381.640625,108381.640625,1698656256
109105.75,109235.0390625,108965.2890625,108965.2890625,927125504
109338.09375,109431.6015625,109102.0546875,109102.0546875,1662877696
109326.5703125,109344.609375,109218.0703125,109328.78125,836124672
109239.640625,109444.6015625,109239.640625,109338.0546875,509448192
109175.640625,109298.2578125,109175.640625,109218.9609375,0
108908.125,109246.6484375,108908.125,109216.2265625,0
108863.5703125,108943.171875,108704.6953125,108943.171875,0
108854.25,108901.8828125,108750.9140625,108851.0390625,116768768
108812.921875,108872.234375,108772.6328125,108861.2265625,528576512
108677.1953125,108844.9140625,108677.1953125,108803.1640625,343523328
108884.6171875,108884.6171875,108657.3671875,108702.0078125,387072000
108716.9296875,108876.96875,108662.6015625,108876.5703125,0
108609.2734375,108750.9453125,108560.59375,108715.890625,0
108730.2890625,108785.6015625,108605.1328125,108610.5859375,722350080
108740.46875,108931.109375,108735.3984375,108743.421875,563564544
108923.6171875,108937.90625,108711.96875,108711.96875,1845788672
109019.9296875,109019.9296875,108842.4296875,108842.4296875,170639360
109170.6640625,109177.9921875,108897.5625,108973.515625,1396862976
108965.1015625,109183.03125,108965.1015625,109183.03125,0
108887.40625,109019.78125,108887.40625,108981.375,738209792
108936.2421875,108942.890625,108856.9921875,108904.6015625,578187264
108758.6640625,108947.6953125,108758.6640625,108947.6953125,0
108788.734375,108894.3359375,108744.75,108759.6484375,409620480
108850.625,108850.625,108776.015625,108795.5703125,600248320
109021.2890625,109105.4609375,108855.1171875,108855.1171875,0
109176.7421875,109176.7421875,109039.8515625,109042.03125,507785216
108987.46875,109163.8984375,108917.109375,109163.8984375,510742528
109029.609375,109074.8671875,108958.9921875,108983.4140625,21098496
108990.1328125,109078.4921875,108985.90625,109008.7265625,0
109046.3046875,109060.75,108936.90625,108936.90625,534220800
109020.0625,109079.2109375,109010.515625,109056.4453125,0
108931.40625,109035.0234375,108902.5625,109035.0234375,8294400
108816.4609375,108928.4765625,108804.03125,108928.4765625,642920448
108902.328125,108941.265625,108825.5234375,108825.5234375,59817984
108854.0859375,108904.4140625,108854.0859375,108868.25,20725760
108924.8125,108996.90625,108861.4140625,108861.4140625,77012992
108977.296875,108977.296875,108831.1328125,108892.5546875,0
108957.8046875,108974.875,108911.3515625,108968.1171875,42983424
109011.5859375,109036.09375,108976.140625,109004.9140625,0
109010.765625,109096.2109375,109010.765625,109016.5703125,2908160
108889.734375,108962.8515625,108889.734375,108962.8515625,87031808
108820.6015625,108895.65625,108763.7578125,108887.921875,778887168
108734.4609375,108844.0234375,108614.6171875,108826.0546875,0
108829.125,108852.0546875,108720.96875,108727.7890625,88121344
108862.953125,108862.953125,108723.0,108834.6953125,35074048
108700.4765625,108823.0703125,108652.15625,108823.0703125,0
108473.40625,108779.7421875,108427.5625,108737.1484375,756150272
108229.25,108558.625,108184.3359375,108530.4375,123002880
108075.8828125,108332.7109375,108075.8828125,108258.453125,1871421440
107948.1640625,108060.0078125,107722.3984375,108060.0078125,34897920
107989.0234375,108301.515625,107873.2734375,108036.828125,642617344
107870.9765625,108171.734375,107870.9765625,108026.9375,863629312
107836.4765625,107853.7890625,107539.4375,107775.609375,980336640
107989.203125,108035.3203125,107789.9375,107789.9375,0
108069.8828125,108069.8828125,107839.234375,107972.59375,1006227456
107435.5390625,108105.921875,107435.5390625,108047.71875,16859136
107457.78125,107626.75,107357.328125,107538.1328125,957923328
107406.0,107582.203125,107317.546875,107426.5859375,926691328
107920.8828125,107920.8828125,107268.296875,107378.609375,141778944
107876.7421875,107990.15625,107769.7734375,107887.109375,212643840
107694.921875,107889.125,107663.2890625,107889.125,1694171136
107643.28125,107803.21875,107545.21875,107695.03125,1457213440
107881.34375,107881.34375,107553.125,107606.9296875,46432256
107757.6875,107957.7734375,107732.875,107878.2578125,957882368
107990.265625,107998.7421875,107752.859375,107752.859375,194187264
108196.5234375,108210.1953125,107965.25,107965.25,955666432
108159.4765625,108212.34375,108088.984375,108183.5234375,763981824
108235.7734375,108249.4453125,108159.34375,108159.34375,910610432
108152.6796875,108261.5,108152.6796875,108239.390625,834031616
108048.21875,108138.1171875,108048.21875,108136.09375,165572608
108017.984375,108082.8515625,107975.453125,108030.390625,784297984
108225.546875,108225.546875,108024.046875,108024.046875,35139584
108272.546875,108272.546875,108186.6484375,108208.2890625,815710208
108168.2578125,108272.015625,108168.2578125,108269.7890625,81215488
108100.171875,108174.4921875,108100.171875,108161.0078125,81104896
108029.015625,108134.8671875,108001.4609375,108112.3671875,45035520
108112.2421875,108112.2421875,108029.5546875,108046.375,92909568
108085.390625,108148.3359375,108072.3359375,108125.7109375,128446464
108007.1328125,108061.3203125,107920.515625,108061.3203125,1382780928
107946.3203125,108002.6796875,107946.3203125,107995.5546875,68157440
107883.3125,108005.375,107756.8515625,107962.6796875,936607744
107734.6328125,107920.53125,107722.984375,107920.53125,0
107518.0546875,107815.1953125,107518.0546875,107740.828125,213450752
107650.421875,107674.3046875,107527.84375,107534.953125,1188810752
107681.3203125,107695.9921875,107642.890625,107643.1640625,29044736
107544.1015625,107691.1953125,107497.734375,107691.1953125,802267136
107398.5703125,107577.90625,107398.5703125,107516.2109375,30400512
107327.1484375,107480.15625,107310.40625,107460.3359375,854843392
107103.4453125,107323.0859375,106960.1015625,107323.0859375,0
107266.7109375,107266.7109375,107027.34375,107142.5234375,804171776
107244.9765625,107244.9765625,106952.5390625,107204.9453125,1012355072
106873.03125,107232.890625,106784.65625,107212.15625,358780928
107100.859375,107138.7109375,106877.1015625,106877.1015625,1016385536
107190.28125,107248.0703125,107120.0703125,107126.171875,893325312
107182.3359375,107279.9765625,107182.3359375,107217.015625,679755776
107223.34375,107294.1796875,107113.375,107113.375,402608128
106952.4375,107345.65625,106952.4375,107206.8046875,673308672
107022.1484375,107022.1484375,106894.953125,106978.171875,1060958208
107174.4375,107174.4375,107033.6953125,107037.234375,0
107133.6875,107223.21875,107058.0625,107190.1015625,1086795776
107272.375,107277.0703125,107124.1953125,107130.4921875,696586240
107372.625,107372.625,107217.21875,107269.3828125,628338688
107462.015625,107587.1171875,107357.9375,107424.0625,30298112
107534.015625,107579.5703125,107479.9375,107520.3125,911351808
107530.3515625,107533.0703125,107424.1640625,107459.5,712830976
107361.328125,107572.1328125,107361.328125,107490.1953125,0
107495.984375,107495.984375,107348.9453125,107385.15625,943194112
107628.7578125,107701.0859375,107507.984375,107507.984375,873517056
107624.25,107725.609375,107624.25,107650.34375,30650368
107597.984375,107631.0390625,107449.9375,107559.4375,741568512
107640.0234375,107640.0234375,107481.5703125,107570.171875,738414592
107316.1875,107630.7265625,107296.1796875,107630.7265625,1344585728
107362.9921875,107381.3125,107198.40625,107241.7734375,867921920
107275.046875,107416.609375,107224.3203125,107372.9140625,1004531712
106923.1171875,107297.8203125,106869.6484375,107297.8203125,1029361664
107219.734375,107221.875,106862.7890625,106864.1953125,736571392
106982.8359375,107218.0234375,106961.2421875,107181.4296875,982097920
106923.8359375,107021.734375,106896.40625,106999.5,1172242432
106725.8828125,106928.203125,106725.8828125,106928.203125,1095692288
107117.8828125,107117.8828125,106742.3203125,106742.3203125,105320448
107170.703125,107199.2578125,107125.328125,107125.328125,771411968
107298.5625,107309.078125,107185.96875,107185.96875,1465380864
107284.546875,107297.5546875,107154.1796875,107292.234375,51343360
107296.2734375,107310.7890625,107178.3671875,107310.7890625,840011776
107387.1015625,107395.28125,107262.9375,107262.9375,0
107395.359375,107395.359375,107327.0234375,107378.515625,758710272
107562.109375,107589.6875,107369.1484375,107410.8125,304500736
107444.328125,107574.4765625,107432.28125,107574.4765625,762474496
107438.71875,107484.0703125,107436.7265625,107441.2109375,0
107473.484375,107503.625,107445.8515625,107445.8515625,52068352
107603.1328125,107610.1484375,107461.234375,107461.234375,1650688
107687.953125,107735.375,107613.96875,107613.96875,825880576
107779.9375,107881.9921875,107681.515625,107685.328125,82235392
107568.0546875,107738.828125,107556.9921875,107738.828125,0
107575.6015625,107583.3828125,107486.9375,107564.0703125,2235666432
107665.6484375,107665.6484375,107582.7890625,107592.1953125,6455296
107679.390625,107696.6796875,107661.515625,107694.125,785178624
107843.3359375,107843.3359375,107679.6171875,107682.828125,103079936
107549.1875,107879.9609375,107463.3984375,107879.5,1105055744
107404.34375,107492.09375,107214.1484375,107492.09375,944054272
107580.7109375,107664.8984375,107422.390625,107422.390625,751398912
108681.171875,108681.171875,107404.4375,107496.90625,149831680
108304.6796875,108519.78125,108212.6484375,108383.125,1551831040
108615.7421875,108615.7421875,108358.9453125,108358.9453125,62386176
109163.234375,109163.234375,108570.4375,108650.296875,169312256
109000.8984375,109313.3046875,108981.5234375,109188.7421875,790331392
108646.3984375,108983.2578125,108646.3984375,108975.3671875,72511488
108963.9140625,108994.390625,108648.4296875,108669.5234375,725213184
109041.421875,109041.421875,108887.2890625,108936.53125,0
108982.0234375,109032.8359375,108931.7578125,109020.796875,1077469184
108771.296875,109067.8515625,108765.6328125,108961.65625,1178517504
109292.8984375,109292.8984375,108803.8515625,108803.8515625,814821376
109490.8046875,109490.8046875,109201.328125,109226.109375,219152384
109369.921875,109658.96875,109357.90625,109600.53125,768278528
109455.0859375,109465.375,109299.6015625,109389.1171875,11083776
109756.6640625,109756.6640625,109282.6640625,109358.25,592896000
109528.625,109840.2734375,109528.625,109702.0390625,1139363840
109606.2890625,109691.609375,109567.640625,109576.328125,971055104
109556.7578125,109701.953125,109556.7578125,109574.9921875,796241920
109345.015625,109541.0,109298.296875,109541.0,361562112
109426.265625,109442.0625,109262.4921875,109340.875,1854570496
109361.3203125,109437.6953125,109330.5390625,109437.6953125,93523968
109694.7109375,109694.7109375,109345.3828125,109370.359375,267763712
109708.0546875,109718.578125,109624.5546875,109678.9765625,1037471744
109657.28125,109762.765625,109622.2734375,109698.7421875,917295104
109589.578125,109724.640625,109589.3125,109666.1796875,30388224
109688.59375,109701.671875,109555.71875,109579.0390625,110247936
109697.6328125,109717.578125,109683.1015625,109696.1640625,791826432
109588.546875,109731.3359375,109588.546875,109683.484375,71614464
109428.6015625,109598.328125,109428.6015625,109584.3203125,182767616
109597.2109375,109612.0234375,109465.0859375,109470.046875,131416064
109710.875,109713.359375,109576.6953125,109625.765625,1680203776
109692.9609375,109708.046875,109666.1484375,109708.046875,32489472
109600.828125,109736.609375,109600.828125,109680.1953125,81625088
109720.296875,109752.1171875,109575.5078125,109621.7578125,879443968
109573.5546875,109736.359375,109573.5546875,109736.359375,137035776
109975.25,109992.5546875,109581.1640625,109581.1640625,859828224
110044.8671875,110193.421875,109965.921875,109983.8671875,1398640640
109888.3828125,110032.234375,109813.15625,109900.046875,62287872
110048.8671875,110078.046875,109861.9453125,109897.5546875,1466085376
110074.953125,110092.9609375,109990.6796875,110050.25,140840960
109906.5703125,110183.578125,109906.5703125,110120.1171875,47325184
109861.3671875,109987.671875,109818.6875,109956.46875,892899328
109741.3984375,109878.2578125,109730.8359375,109858.0859375,660549632
109711.546875,109807.6171875,109663.625,109763.2578125,1579388928
109826.90625,109832.25,109652.96875,109700.8828125,0
109962.609375,109986.15625,109838.515625,109838.515625,0
109762.703125,109965.21875,109728.640625,109965.21875,747573248
109694.25,109783.015625,109649.9921875,109748.0703125,858181632
109785.2109375,109833.390625,109703.75,109703.75,59420672
109839.4375,109852.296875,109743.1328125,109773.6484375,768032768
109824.6953125,109838.4921875,109797.984375,109830.34375,824381440
109635.1953125,109862.7578125,109605.09375,109851.828125,15085568
109711.3125,109711.3125,109624.640625,109659.3515625,730042368
109708.6796875,109717.3203125,109641.890625,109685.1328125,813150208
109778.4765625,109778.4765625,109652.609375,109721.25,892153856
109754.9296875,109824.1171875,109754.9296875,109815.03125,0
109760.34375,109858.3828125,109732.34375,109769.640625,793956352
109802.6328125,109815.5,109749.53125,109749.53125,0
109778.640625,109820.7421875,109767.3125,109793.296875,41541632
109944.5859375,110014.5625,109728.9609375,109731.6953125,829083648
